species,roc_auc,pr_auc,f1,mcc,n_test
vibrio cholerae o1,1.0,1.0,0.96,0.9518313432446455,66
vibrio cholerae o1 biovar el tor,0.9761904761904762,0.8546503100074528,0.8484848484848485,0.801483105680312,53
vibrio cholerae o139,0.9956521739130435,0.9825757575757575,0.8,0.7708455737375189,56
vibrio coralliilyticus,1.0,1.0,0.9411764705882353,0.931517508007696,50
vibrio coralliilyticus p1,1.0,1.0,1.0,1.0,40
vibrio crassostreae,0.9962585034013606,0.9997617319110628,0.10628019323671498,0.057700067771392125,623
vibrio cyclitrophicus,0.9685235507246377,0.9677489601605729,0.8024691358024691,0.7178885139209138,422
vibrio cyclitrophicus 1f273,1.0,1.0,1.0,1.0,58
vibrio cyclitrophicus 1f53,1.0,1.0,1.0,1.0,47
vibrio harveyi,1.0,1.0,1.0,1.0,89
vibrio kanaloae,0.9494584837545127,0.11420454545454546,0.12244897959183673,0.23471981580640514,280
vibrio lentus,0.9471759922782181,0.9328258937372829,0.6690391459074733,0.5404455382800021,370
vibrio mediterranei,1.0,1.0,1.0,1.0,46
vibrio natriegens,0.9814814814814814,0.865299823633157,0.9473684210526315,0.9373214115613857,51
vibrio neocaledonicus,1.0,1.0,0.8571428571428571,0.8567628336893993,50
vibrio parahaemolyticus,1.0,1.0,0.9941176470588236,0.9905394105933428,446
vibrio parahaemolyticus rimd 2210633,0.9829059829059829,0.7638888888888888,0.8571428571428571,0.8548504142651103,42
vibrio sp.,0.9963235294117647,0.9979108535556279,0.9580838323353293,0.8884724558098025,133
vibrio sp. 10n.1,0.9960179193628671,0.9210884353741495,0.6,0.6175628126155714,294
vibrio sp. 10n.2,0.9976190476190476,0.8500000000000001,0.75,0.77182529481372,283
vibrio sp. f12,0.9845699718234268,0.8050087642413701,0.8484848484848485,0.8369131065398874,286
vibrio sp. f13,0.9979982206405694,0.97703125,0.9090909090909091,0.904214020782495,297
vibrio splendidus,0.9866426676771505,0.9649722355292469,0.8176100628930818,0.7738875165949788,323
vibrio tasmaniensis,0.9969405594405595,0.8500248015873015,0.8235294117647058,0.8197993117492816,294
vibrio vulnificus,0.9954568399798083,0.8875588697017267,0.8,0.7965816572045918,290
vibrio_alginolyticus,1.0,1.0,1.0,1.0,21
vibrio_cholerae,1.0,0.9999999999999998,1.0,1.0,45
vibrio_harveyi,1.0,1.0,1.0,1.0,29
vibrio_parahaemolyticus,0.9932659932659933,0.9868595440125368,0.9473684210526315,0.9194860224356569,51
vibrio_splendidus,1.0,1.0,1.0,1.0,26
vibrio_vulnificus,1.0,1.0,1.0,1.0,21
xanthomonas_campestris,1.0,1.0,0.8571428571428571,0.8461141122266493,25
xanthomonas_oryzae,1.0,1.0,1.0,1.0,27
xylella_fastidiosa,1.0,1.0,1.0,1.0,27
yersinia_enterocolitica,1.0,1.0000000000000002,1.0,1.0,31
yersinia_pestis,1.0,1.0,0.9090909090909091,0.8928053815224023,28
