species,roc_auc,pr_auc,f1,mcc,n_test
salinibacter_ruber,1.0,1.0,1.0,1.0,23
salmonella_enterica,0.997716894977169,0.9987124135569714,0.9645390070921984,0.912365264564406,115
salmonella_enteritidis,1.0,1.0,1.0,1.0,18
salmonella_paratyphi,1.0,1.0,1.0,1.0,24
salmonella_typhimurium,1.0,1.0,1.0,1.0,34
shewanella sp.,1.0,1.0,0.8275862068965517,0.7643157063581784,41
shewanella sp. 10n.6,0.8361185983827494,0.621549724061963,0.7272727272727273,0.7516860933544206,272
shewanella sp. m16,1.0,1.0,1.0,1.0,30
shigella_boydii,1.0,1.0,0.75,0.7429670248402683,28
shigella_flexneri,0.9758620689655172,0.9749818461108783,0.9473684210526316,0.9175704244748564,49
shigella_sonnei,1.0,1.0,0.9090909090909092,0.8770580193070291,36
sinorhizobium_meliloti,1.0,1.0,1.0,1.0,29
staphylococcus_aureus,0.989483451902258,0.993789377160844,0.8723404255319149,0.7450912241446997,167
staphylococcus_auricularis,0.976851851851852,0.6916666666666667,0.3333333333333333,0.3214653124210248,58
staphylococcus_capitis,0.9263888888888888,0.8349026861880768,0.5,0.5063696835418333,58
staphylococcus_chromogenes,0.971875,0.9506660216120608,0.8,0.718136979079006,52
staphylococcus_cohnii,0.9479166666666666,0.7990968191249606,0.7804878048780488,0.7211102550927979,64
staphylococcus_epidermidis,0.967032967032967,0.95581019401186,0.6274509803921569,0.5544268775605817,74
staphylococcus_equorum,0.9807692307692308,0.9554526683541776,0.6206896551724138,0.5924525297439449,59
staphylococcus_fleuretti,0.854591836734694,0.271806545584741,0.5217391304347826,0.4899250919729269,63
staphylococcus_haemolyticus,0.9166666666666666,0.3505466755466755,0.5714285714285714,0.5249506569572601,62
staphylococcus_hyicus,0.9248366013071896,0.5451839826839826,0.6153846153846154,0.568353068157491,57
staphylococcus_kloosii,0.8823529411764706,0.7626984524489826,0.7647058823529411,0.6594427244582043,55
staphylococcus_lentus,0.8804347826086957,0.5390075065113765,0.375,0.2907262271114094,56
staphylococcus_lugdunensis,0.8675324675324676,0.7708129629519752,0.4516129032258064,0.3485048460289006,57
staphylococcus_pasteuri,0.9739583333333331,0.4277777777777777,0.4,0.3861068837006479,67
staphylococcus_pettenkoferi,0.8794642857142858,0.479375,0.6,0.5790660241435862,60
staphylococcus_saprophyticus,0.8115942028985508,0.4357001693958215,0.2222222222222222,0.1642904418601307,49
staphylococcus_schleiferi,0.92125,0.8755127466174225,0.0769230769230769,0.1511857892036908,57
staphylococcus_sciuri,0.9483870967741936,0.9252728854369672,0.5555555555555556,0.4601415057116586,56
staphylococcus_succinus,0.950590762620838,0.8714580663318892,0.4166666666666667,0.4524139283588641,68
staphylococcus_vitulinus,0.970625798212005,0.9563357994262685,0.5714285714285714,0.4458976987675729,56
staphylococcus_warneri,0.8564814814814814,0.1918959818775995,0.3076923076923077,0.2592052637865796,58
staphylococcus_xylosus,0.9664502164502164,0.9220620566121916,0.3888888888888889,0.3243225335599246,61
