phage,host,accession,cluster,subcluster,label,source
aireseph,streptomyces lividans,,,,1,phagesdb
airforce1,arthrobacter globiformis,,,,1,phagesdb
airhead,streptomyces griseus,,,,1,phagesdb
airitrea,arthrobacter globiformis,,,,1,phagesdb
airmid,mycobacterium smegmatis,JN083853,,,1,phagesdb
airnoodle,mycobacterium smegmatis,,,,1,phagesdb
airpod,streptomyces griseus,,,,1,phagesdb
aishwareya,mycobacterium smegmatis,,,,1,phagesdb
aislinn,microbacterium foliorum,,,,1,phagesdb
aiya,gordonia terrae,,,,1,phagesdb
aizen,mycobacterium smegmatis,,,,1,phagesdb
aizenpogi,mycobacterium smegmatis,,,,1,phagesdb
aj1010,mycobacterium smegmatis,,,,1,phagesdb
ajah,mycobacterium smegmatis,,,,1,phagesdb
ajaia,mycobacterium smegmatis,,,,1,phagesdb
ajak,mycobacterium smegmatis,,,,1,phagesdb
ajames10,mycobacterium smegmatis,,,,1,phagesdb
ajamka,mycobacterium smegmatis,,,,1,phagesdb
ajarvis,mycobacterium smegmatis,,,,1,phagesdb
ajax,gordonia terrae,,,,1,phagesdb
ajaxious,mycobacterium smegmatis,,,,1,phagesdb
ajay,mycobacterium smegmatis,MN062710,,,1,phagesdb
ajesh,gordonia terrae,,,,1,phagesdb
ajgecko,gordonia rubripertincta,,,,1,phagesdb
ajin,microbacterium foliorum,PP978814,,,1,phagesdb
ajinkya,gordonia terrae,,,,1,phagesdb
ajju,gordonia rubripertincta,,,,1,phagesdb
ajkiller,arthrobacter globiformis,,,,1,phagesdb
ajuribao,arthrobacter globiformis,,,,1,phagesdb
ajwsabo,mycobacterium smegmatis,,,,1,phagesdb
ak907,mycobacterium smegmatis,,,,1,phagesdb
akademos,gordonia terrae,,,,1,phagesdb
akameakil,arthrobacter globiformis,,,,1,phagesdb
akamu,mycobacterium smegmatis,,,,1,phagesdb
akan,gordonia terrae,,,,1,phagesdb
akanasha,mycobacterium smegmatis,,,,1,phagesdb
akansemiii,mycobacterium smegmatis,,,,1,phagesdb
akari,mycobacterium smegmatis,,,,1,phagesdb
akaza,microbacterium foliorum,,,,1,phagesdb
akbullworm,gordonia terrae,,,,1,phagesdb
akela,microbacterium foliorum,,,,1,phagesdb
akelley,mycobacterium smegmatis,,,,1,phagesdb
akeobi,streptomyces mirabilis,,,,1,phagesdb
akepos,mycobacterium smegmatis,,,,1,phagesdb
akhanscot,mycobacterium smegmatis,,,,1,phagesdb
akhila,mycobacterium smegmatis,MW924649,,,1,phagesdb
akhos,gordonia terrae,,,,1,phagesdb
akhter12,arthrobacter globiformis,,,,1,phagesdb
akiarah,mycobacterium smegmatis,,,,1,phagesdb
akino08,microbacterium foliorum,PV876947,,,1,phagesdb
akinshadow,mycobacterium smegmatis,,,,1,phagesdb
akka,arthrobacter globiformis,,,,1,phagesdb
akkya,mycobacterium smegmatis,,,,1,phagesdb
akman,arthrobacter globiformis,,,,1,phagesdb
akoma,mycobacterium smegmatis,JN699006,,,1,phagesdb
akon,microbacterium foliorum,,,,1,phagesdb
akoni,microbacterium foliorum,MK757449,,,1,phagesdb
akroma,mycobacterium smegmatis,,,,1,phagesdb
akronhammer,microbacterium foliorum,,,,1,phagesdb
aksarbat,gordonia rubripertincta,,,,1,phagesdb
akshpaksh,mycobacterium smegmatis,,,,1,phagesdb
akuma,gordonia terrae,,,,1,phagesdb
akusoba,mycobacterium smegmatis,,,,1,phagesdb
akwakwak,microbacterium foliorum,,,,1,phagesdb
aladdin,microbacterium foliorum,,,,1,phagesdb
alaeddis,mycobacterium smegmatis,,,,1,phagesdb
alafia,arthrobacter globiformis,,,,1,phagesdb
alagonkal,mycobacterium smegmatis,,,,1,phagesdb
alainamarie,gordonia terrae,MZ005675,,,1,phagesdb
alais,microbacterium foliorum,,,,1,phagesdb
alakazam,microbacterium foliorum,MT024862,,,1,phagesdb
alan,mycobacterium smegmatis,,,,1,phagesdb
alanalda,mycobacterium smegmatis,,,,1,phagesdb
alangrant,mycobacterium smegmatis,KR080200,,,1,phagesdb
alani,gordonia rubripertincta,,,,1,phagesdb
alanna,arthrobacter sp.,,,,1,phagesdb
alanp,mycobacterium smegmatis,,,,1,phagesdb
alaric,mycobacterium smegmatis,,,,1,phagesdb
